CustomerID,CardNumber,BankName,CardBrand,CardType,IssuingCountry,TransactionAmount,ChargebackFlag,ChargebackReasonCode,TransactionDate
CUST8712,4256459177468691,"BANK OF AMERICA, NATIONAL ASSOCIATION",VISA,DEBIT,UNITED STATES,2640.71,No,,2025-01-09 19:10:30.136073
CUST3574,4911956593235528,BANK OF SCOTLAND PLC,VISA,DEBIT,UNITED KINGDOM,2829.61,No,,2025-01-05 19:10:30.136073
CUST1610,3159129765254452,UNKNOWN,JCB,DEBIT,JAPAN,2306.72,No,,2024-12-31 19:10:30.136073
CUST7744,6557745626530727,DISCOVER ISSUER,DISCOVER,CREDIT,UNITED STATES,1615.23,Yes,Fraud,2025-01-20 19:10:30.136073
CUST5732,4672834410806066,GRAND VALLEY BANK,VISA,DEBIT,UNITED STATES,3498.35,No,,2025-01-05 19:10:30.136073
CUST2711,3703719634665923,AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS,CREDIT,UNITED STATES,3060.53,No,,2025-01-20 19:10:30.136073
CUST3334,4378731560152075,YORKSHIRE BANK,VISA,DEBIT,UNITED KINGDOM,4605.1,No,,2025-01-27 19:10:30.136073
CUST7049,4214850750153985,"HABIB BANK, LTD.",VISA,DEBIT,PAKISTAN,4828.04,No,,2025-01-07 19:10:30.136073
CUST4178,3555100028065972,UNKNOWN,JCB,CREDIT,JAPAN,2425.75,No,,2025-01-07 19:10:30.136073
CUST3602,3438350025140262,UNKNOWN,AMERICAN EXPRESS,CREDIT,UNITED STATES,3800.0,No,,2025-01-26 19:10:30.136073
CUST4682,5419043010013626,PJSC ROSBANK,MASTERCARD,DEBIT,RUSSIAN FEDERATION,4289.31,No,,2025-01-30 19:10:30.136073
CUST1450,4824816588088984,"ITAU UNIBANCO, S.A.",VISA,DEBIT,BRAZIL,95.31,No,,2025-01-16 19:10:30.136073
CUST9984,3981021514744909,UNKNOWN,DINERS CLUB INTERNATIONAL,CREDIT,UNITED STATES,3174.72,No,,2025-01-01 19:10:30.136073
CUST7109,5252491924029409,"CREDIT SAISON CO., LTD.",MASTERCARD,CREDIT,JAPAN,1733.92,No,,2025-01-24 19:10:30.136073
CUST5401,5088098217243249,STATE BANK OF INDIA,RUPAY,DEBIT,INDIA,1272.13,No,,2025-01-21 19:10:30.136073
CUST8111,3445654852436224,UNKNOWN,AMERICAN EXPRESS,CREDIT,UNITED STATES,4050.38,No,,2025-01-02 19:10:30.136073
CUST1717,4354379334780424,UNKNOWN,VISA,CREDIT,UNITED STATES,4218.02,No,,2025-01-12 19:10:30.136073
CUST2099,3403795652273431,AMERICAN EXPRESS US CONSUMER,AMERICAN EXPRESS,CREDIT,UNITED STATES,4375.4,No,,2025-01-15 19:10:30.136073
CUST8991,1234229524863201,SHANDONG AIRLINES (SC),UATP,CREDIT,CHINA,4732.6,No,,2025-01-10 19:10:30.136073
CUST5706,4662357563597040,C-CARD S.P.A.,VISA,DEBIT,ITALY,1748.62,No,,2025-01-03 19:10:30.136073
CUST7185,4562418514996437,BPCE,VISA,DEBIT,FRANCE,2207.35,No,,2025-01-04 19:10:30.136073
CUST1177,3470497009716650,UNKNOWN,AMERICAN EXPRESS,CREDIT,UNITED STATES,4125.06,No,,2025-01-23 19:10:30.136073
CUST1972,4621107046201700,"WELLS FARGO BANK, N.A.",VISA,DEBIT,UNITED STATES,1820.68,No,,2025-01-13 19:10:30.136073
CUST3816,7718001106481700,UNKNOWN,PRIVATE LABEL,DEBIT,UNITED STATES,2730.96,No,,2025-01-25 19:10:30.136073
