CustomerID,CardNumber,BIN,Country,Complaint,Feedback,SentimentCategory,ChargebackFlag
6XIUEXHO,5686037778660548,568603,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
S8WO6W7B,3446386871613012,344638,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
IQS64BSJ,5372958449359272,537295,UNITED KINGDOM,Unauthorized Charge,I was charged without my knowledge!,Negative,1
5ECV62SJ,3115012680317334,311501,JAPAN,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
T51GW8D8,3539694548189663,353969,INDIA,Unauthorized Charge,I was charged without my knowledge!,Negative,1
HS7OHNO3,4787003993511681,478700,UNITED STATES,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
TPRNKZO5,6104720343470773,610472,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
G462SSQ5,3401433366758964,340143,MEXICO,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
NTTFVGSG,4315639009072572,431563,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
J0MDEK0I,4423460967147773,442346,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
BLOU5T67,4301628435251306,430162,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
DAIYD0JM,4259739035783911,425973,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
UZAKK32A,4673858867598048,467385,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
H2QO4GLS,3436945473473058,343694,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
IK71HPQM,3532093545825895,353209,JAPAN,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
GDPCB7CL,7757441224832085,775744,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
49VPCN55,3346386095838285,334638,JAPAN,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
JBO71RF6,5837070509767351,583707,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
XF9ICS67,7756412491027357,775641,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
SIZP1GSX,4979145638631414,497914,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
OKNX17K7,6442575844259491,644257,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
K5WYD8YX,5054978779598092,505497,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
5WVX0L6K,5001006448462168,500100,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
D2CTEHYX,4844828795936980,484482,UNITED STATES,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
DWX0HS5P,3987019496226868,398701,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
S4UMTKC4,5812102338863898,581210,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
IEY5FVY3,5983724132196403,598372,UNITED KINGDOM,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
FS3QQY9T,3637852887033051,363785,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
DQ75NE0B,3935951905416622,393595,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
QKVC1ZZE,5640617124929749,564061,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
86KG2O1H,1032857805639185,103285,CHINA,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
YTT1VU0J,3477234374253429,347723,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
X9K5RUAG,5053476737996009,505347,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
L48RW5D7,5194175192466092,519417,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
HOBTT9W5,3052353788668180,305235,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
T9RVOW7R,4446012778340524,444601,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
V3U4UM10,5504544086603506,550454,MEXICO,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
DHWV0U01,3023918630229342,302391,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
A1G7BRYC,5121891200450318,512189,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
AEKUV91V,5869681426929883,586968,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
SNEEEXSP,6470976475728974,647097,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
GS2RS3Q5,5030635034505977,503063,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
3H3I48VO,3883060918707881,388306,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
R9PCFRR3,3544109159122443,354410,JAPAN,Unauthorized Charge,I was charged without my knowledge!,Negative,1
P8DJATKA,3963532423402699,396353,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
D8OI0VJS,3494033030401071,349403,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
I9ZXKGH9,3485802421795039,348580,BRAZIL,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
BW2ZCI14,6084745800332987,608474,INDIA,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
2JT62JPI,4200364003159149,420036,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
6BDYKR85,5259622036046889,525962,UNITED STATES,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
2QKWW492,3716287118488416,371628,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
GKS4XXBX,3411480279238868,341148,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
MBZ8UL7R,6507083209645460,650708,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
IOZRIXY1,4895580442097161,489558,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
OZRD05P3,3529517456364423,352951,JAPAN,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
NWU84622,4857360115862430,485736,UNITED STATES,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
EDHGDNZK,3890610015558940,389061,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
DL6B77WU,3851556518410137,385155,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
4CIP2VKF,3189267499707041,318926,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
TA3913IK,3618729829591243,361872,UNITED KINGDOM,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
C7SUDXLA,8196911091892463,819691,INDIA,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
GNHMW7ED,3026557559267161,302655,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
YEWD6EM7,4825373655174022,482537,GERMANY,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
71GWYTYK,3943496281590513,394349,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
PTQT09TY,7071212267153874,707121,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
8X5BQMPD,6447651618180505,644765,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
UH47VM2C,3847462496729399,384746,UNITED STATES,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
AKHOBLSP,3951550605602135,395155,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
9DZ620YI,4789704079669301,478970,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
NZXQ9AZL,5874897417997423,587489,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
B2SW4BDM,5564445592107278,556444,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
2OG48B7G,5067283293336884,506728,BRAZIL,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
8SJLCH73,3739726411694595,373972,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
M69S1RPU,5406098483594716,540609,GERMANY,Unauthorized Charge,I was charged without my knowledge!,Negative,1
A2N8SOBY,4095559645977731,409555,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
LVZLM1EV,6804207340062228,680420,GERMANY,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
AI1X6PV6,8124407940602372,812440,CHINA,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
XBXOFYWX,1617924517739532,161792,UNITED KINGDOM,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
CV1X9CY6,4017230557117373,401723,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
MGE4PTUX,6252232063668630,625223,CHINA,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
WYPNICZT,3635259757000727,363525,SINGAPORE,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
HBPMC13J,3850392592474116,385039,UNITED STATES,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
N8VX86PH,3881571418451248,388157,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
461LF350,5574347578431484,557434,UNITED KINGDOM,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
1U89MLEB,3481504883289604,348150,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
5TCY5LPD,4676379131072818,467637,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
XO7HLTDT,4812326361244974,481232,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
WVERG0S7,5974078306134555,597407,CHINA,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
NRK7IC5F,6482799792265933,648279,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
1LCVEYX6,6571291140541842,657129,UNITED STATES,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
DW7UN497,5085378212377431,508537,INDIA,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
GJUJ9DY9,6488016165783853,648801,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
DEX4RZBR,4928831491804744,492883,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
O60X8YFJ,5996623739847801,599662,UNITED KINGDOM,Unauthorized Charge,"I raised a dispute, but no resolution yet!",Negative,1
WTXZLR93,3049328506693669,304932,UNITED STATES,Unauthorized Charge,I was charged without my knowledge!,Negative,1
IQNMQ7YT,5392109280063482,539210,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
UXTFIOI4,8132021057579889,813202,CHINA,Unauthorized Charge,I was charged without my knowledge!,Negative,1
6DZA5PG0,4062858768894185,406285,MEXICO,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
GM1WOU95,8103702025290627,810370,CHINA,Unauthorized Charge,I was charged without my knowledge!,Negative,1
3Z9VQT66,5365369199800756,536536,FRANCE,Unauthorized Charge,I was charged without my knowledge!,Negative,1
WAKY6K3J,3802162063047663,380216,UNITED STATES,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
5TYD73TV,4673578813500254,467357,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
BZ55D5RQ,3660450847660019,366045,JAPAN,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
MNHR9X6Y,3718987188445355,371898,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
6PL526LR,3925054853906686,392505,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
XOHUFU0A,4597026548408083,459702,UNITED KINGDOM,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
SS65VF4Q,3480912516523303,348091,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
OMDKGPX6,3573653658552595,357365,JAPAN,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
N37VK2WL,4442598666476746,444259,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
JU51OAFW,6525807620466352,652580,UNITED STATES,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
LR7AHYLZ,3607739550773272,360773,RUSSIAN FEDERATION,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
X17BLU1N,6507265845242873,650726,BRAZIL,Unauthorized Charge,Unauthorized transaction detected on my account.,Negative,1
7KFW2ND8,6086351848555288,608635,INDIA,Unauthorized Charge,I was charged without my knowledge!,Negative,1
YGGR2702,5049332446833735,504933,UNITED STATES,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",Negative,1
TI4KCYJC,4886395339129042,488639,UNITED STATES,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
AEUHLP07,3402314813609896,340231,UNITED KINGDOM,Fraudulent Transaction,"I reported fraud, but no action taken!",Negative,1
S1YK6JBL,4071025502613777,407102,BRAZIL,Fraudulent Transaction,Someone used my card fraudulently!,Negative,1
